date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
18/04/2018,16.3,8.6,23.6,0,0,,,,,
19/04/2018,17.2,9.6,24.9,0,0,,,,,
20/04/2018,18.1,10.8,26,0,0,,,,,
21/04/2018,18.8,11.5,26.2,0,0,,,,,
22/04/2018,18.9,12,26.3,0,0,,,,,
23/04/2018,16.3,11.8,21.3,1,0,,,,,
24/04/2018,16.1,10.9,22.5,0,0,,,,,
25/04/2018,17,11.9,23,0,0,,,,,
26/04/2018,11.2,9.1,13.7,0,0,,,,,
27/04/2018,14.4,5.8,22.5,0,0,,,,,
28/04/2018,15.7,10.6,21.6,0,0,,,,,
29/04/2018,17.7,10.4,25.8,2,0,,,,,
30/04/2018,11,7.1,15.5,3.4,0,,,,,
01/05/2018,8.7,6.4,12.3,0.3,0,,,,,
02/05/2018,10.4,7.8,13.1,0,0,,,,,
03/05/2018,12.4,9.3,15.8,0,0,,,,,
04/05/2018,14.9,12.3,18.7,0,0,,,,,
05/05/2018,17.7,13.8,23.7,0,0,,,,,
06/05/2018,17.2,12.7,24.5,0,0,,,,,
07/05/2018,16.7,9.9,24.3,0,0,,,,,
08/05/2018,18.2,11.9,25.1,0,0,,,,,
09/05/2018,16.3,10.9,23.8,1.6,0,,,,,
10/05/2018,11.8,9.7,14.5,8,,,,,,
11/05/2018,14.3,7.8,20.6,0,0,,,,,
12/05/2018,17.8,11.2,24.6,0.1,,,,,,
13/05/2018,12.1,8.9,15.3,1.1,,,,,,
14/05/2018,10.1,8.2,13.6,16.9,0,,,,,
15/05/2018,10.4,8.7,13.7,14.2,0,,,,,
16/05/2018,10.6,9.1,12.1,12,0,,,,,
17/05/2018,11.5,9.6,14.3,4.9,0,,,,,
18/05/2018,14.4,10.6,21,0,0,,,,,
19/05/2018,13.7,8.7,19.9,0,0,,,,,
20/05/2018,13.5,8.8,17.6,0,0,,,,,
21/05/2018,15.4,10.1,23.3,1,0,,,,,
22/05/2018,16.4,10.9,24,8.7,0,,,,,
23/05/2018,16.1,12.6,21.6,7.9,0,,,,,
24/05/2018,17.4,12.8,23,0,0,,,,,
25/05/2018,19,12.6,25.4,0,0,,,,,
26/05/2018,20.6,13.7,27,0,,,,,,
27/05/2018,21.1,16.4,26.4,0,0,,,,,
28/05/2018,21.3,15.8,27.1,1,0,,,,,
29/05/2018,18.6,15.4,23.1,0.2,0,,,,,
30/05/2018,18.9,14.2,27.4,11.2,0,,,,,
31/05/2018,18.3,13.9,24.3,17.6,0,,,,,
01/06/2018,17.6,12.7,24.1,0.6,0,,,,,
02/06/2018,19,13.6,24.8,0,,,,,,
03/06/2018,20.1,13.9,26,0,0,,,,,
04/06/2018,18.8,15.3,27,5.5,0,,,,,
05/06/2018,19.9,15.1,26.2,0,0,,,,,
06/06/2018,20.3,16.5,25.9,1.1,0,,,,,
07/06/2018,19.4,16.6,24,0,0,,,,,
08/06/2018,18.2,15.6,24.5,13.7,0,,,,,
09/06/2018,20.3,16.3,26.1,0,0,,,,,
10/06/2018,21.7,16,27.3,0,0,,,,,
11/06/2018,18.8,15.8,22.7,6.8,0,,,,,
12/06/2018,16.9,14.6,19.2,31.9,0,,,,,
13/06/2018,12.6,10.7,15.1,4.1,0,,,,,
14/06/2018,14.6,9.1,20.1,0,0,,,,,
15/06/2018,16.7,10.8,22.4,0,0,,,,,
16/06/2018,18.5,11.6,24.3,0,0,,,,,
17/06/2018,18.6,16.5,22.6,0,0,,,,,
18/06/2018,18.9,15.6,23.9,0,0,,,,,
19/06/2018,19.9,14.2,25.7,0,0,,,,,
20/06/2018,22,15,28.7,0,0,,,,,
21/06/2018,22.2,16.1,27.2,0,0,,,,,
22/06/2018,14.9,10.6,19.9,0,0,,,,,
23/06/2018,15.4,9.3,21.4,0,0,,,,,
24/06/2018,16.1,11.2,21,0,0,,,,,
25/06/2018,16.9,13.2,21.7,0,0,,,,,
26/06/2018,18.2,11.5,24,0,0,,,,,
27/06/2018,18.8,13.7,24.8,0,0,,,,,
28/06/2018,16.6,12.8,21.8,0.8,0,,,,,
29/06/2018,18.6,14,24.3,0,0,,,,,
30/06/2018,22.6,15.7,29.8,0,,,,,,
01/07/2018,22.1,16.6,28.1,0,0,,,,,
02/07/2018,22.2,15.1,28.9,0.1,0,,,,,
03/07/2018,19.4,16.5,22.9,23.7,0,,,,,
04/07/2018,22.1,16.2,28.4,2.3,0,,,,,
05/07/2018,17.3,14.6,19.9,12.4,0,,,,,
06/07/2018,16.3,14.6,19.1,12.5,0,,,,,
07/07/2018,19.4,14.6,25.1,0,0,,,,,
08/07/2018,20.6,15.2,25.8,0,0,,,,,
09/07/2018,21.2,15.1,26.6,0,0,,,,,
10/07/2018,19,15.4,23.5,0,0,,,,,
11/07/2018,17,13.8,21.6,0,0,,,,,
12/07/2018,18.6,11,24.6,0,0,,,,,
13/07/2018,21.1,14.2,27.5,0,0,,,,,
14/07/2018,22.8,17,28.7,0,0,,,,,
15/07/2018,20.9,16.7,28.6,2.3,0,,,,,
16/07/2018,20.6,14.8,27.6,4,0,,,,,
17/07/2018,19.9,14.3,26.7,1.3,0,,,,,
18/07/2018,21.8,15.3,28.9,0,0,,,,,
19/07/2018,22.8,16.4,29.3,0,0,,,,,
20/07/2018,21.8,17,29.5,0.1,0,,,,,
21/07/2018,18.4,17.3,20.5,0,,230,6.3,24.1,1012.9,
22/07/2018,18.8,15.7,22.9,0.3,0,222,4.9,18.5,1014.2,
23/07/2018,20.2,16.4,25.5,0,0,42,4.6,16.7,1016,
24/07/2018,22.9,15.5,30.2,0,0,47,5.2,20.4,1013.3,
25/07/2018,24.6,17.9,31.1,0,0,67,3.9,20.4,1013.3,
26/07/2018,24.5,18.1,31.9,0,0,54,6.6,29.6,1012.6,
27/07/2018,24.3,17.5,31.6,0,0,55,4.8,20.4,1011.2,
28/07/2018,20.1,17.1,23.5,4.2,,205,6.5,27.8,1011.7,
29/07/2018,23.1,16.2,29.9,0,0,29,3.7,16.7,1014,
30/07/2018,25.6,18.6,32.8,0,0,223,3.7,18.5,1014.2,
31/07/2018,26.8,19.1,34.6,0,0,297,4.2,20.4,1014.7,
01/08/2018,24.7,19.1,33.4,5.6,0,32,5.2,27.8,1016.6,
02/08/2018,23.7,17.5,30.2,0,0,50,6.3,24.1,1018.9,
03/08/2018,26.1,19.5,32.7,0,0,49,7.6,29.6,1017.3,
04/08/2018,26.6,21.1,33.4,0,0,51,4.3,20.4,1015.9,
05/08/2018,26.7,20.8,33.5,0,0,42,4.8,22.2,1015.9,
06/08/2018,25.3,19.9,33.4,2.5,0,83,5.3,18.5,1014.8,
07/08/2018,25.1,20.7,32.7,0,0,189,5.2,24.1,1012.3,
08/08/2018,23.3,18.2,29.3,2.3,0,205,6.2,22.2,1013.3,
09/08/2018,21.1,17,31.4,6.5,0,176,6.1,35.2,1013.5,
10/08/2018,17.6,13.9,22.5,0,0,242,5.5,24.1,1023.1,
11/08/2018,18.7,13.9,24.5,0,0,298,5,22.2,1022.7,
12/08/2018,21.1,12.4,29.7,0,0,70,5.9,20.4,1016.5,
13/08/2018,20,16.2,23.5,21.2,0,214,6.8,27.8,1011.7,
14/08/2018,18.4,15.8,22.9,0.1,0,231,6.3,20.4,1015.6,
15/08/2018,19.9,14.9,26,0,,66,4,18.5,1019,
16/08/2018,21.1,14.5,28.2,0,0,58,4.4,16.7,1015.8,
17/08/2018,20.6,16.8,29.3,0.9,0,205,4.8,27.8,1015.4,
18/08/2018,20.6,16.5,25.5,0,0,34,3.8,18.5,1020.1,
19/08/2018,22.2,16.7,28.1,0,0,2,3.5,16.7,1020.1,
20/08/2018,23.3,17.4,29,0,0,349,3.4,16.7,1018.4,
21/08/2018,22.9,17.1,29.5,0,0,53,4.5,20.4,1017.7,
22/08/2018,23.8,17.8,31.4,1.1,0,152,3.8,18.5,1016.2,
23/08/2018,21.8,15.4,30,37.6,,198,5.1,24.1,1014.4,
24/08/2018,17.8,15.1,23,0.4,0,234,8.9,29.6,1014,
25/08/2018,13.1,9.3,15.6,4.6,0,248,7.2,31.5,1015.4,
26/08/2018,12.7,8.1,18.2,0,0,26,4.2,16.7,1017.7,
27/08/2018,18.5,13,24.3,0,0,227,5.6,25.9,1016.2,
28/08/2018,20.4,15.1,26.7,0,0,66,3.7,16.7,1017.2,
29/08/2018,19.2,15.6,27.4,10.1,,204,6.2,29.6,1014.9,
30/08/2018,15.9,14.2,17.9,1.2,0,255,7.5,25.9,1019.9,
31/08/2018,13.4,11.9,15,19.2,0,334,5.1,20.4,1020,
